Team,Round Elim,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG,BKPG,RPG,OPP FG%,OPP PPG,STPG,Pct,Avg,Ratio,Fouls,TO,REB MAR,Pct
Idaho St.,0,10.2,43.4,68.4,7.52,69.8,7.6,35.9,13.5,2.4,22.19,48.1,80.2,7.2,39.6,12.97,0.75,578,419,-7.5,16.1
Southern Utah,0,11.5,40.6,74.1,11.61,77.5,8.8,35.7,13.7,3.2,25.33,47.8,85.3,5.6,38.4,12.55,0.84,803,452,-0.4,18.2
Alabama St.,0,9.7,39.2,63.7,13.77,65.9,6.5,29.7,15.7,3.2,24.68,44.4,74.4,4.8,34.3,12.65,0.61,630,488,0.6,25.8
Longwood,0,10.8,44.5,73,7.27,67.3,6.2,32.7,15.2,4.1,23.4,47.7,80.3,5.8,39.6,12.67,0.71,540,456,-7.4,20
Central Conn. St.,0,11.7,42.1,62,11.45,63,5,35.1,14.2,2.3,21.79,46.8,72.8,5.7,38,13.52,0.82,540,413,-2.2,20.7
Ark.-Pine Bluff,0,10.4,40.3,65.2,10.47,61.8,6.5,33.5,18.1,2.9,21.19,44.8,72.5,8.7,31.8,16.72,0.58,718,578,-4.4,21.9
Presbyterian,0,12.1,41.2,68.6,10,61.2,6,34.6,15,2.4,22.63,45.8,74.8,4.8,38.8,11.6,0.81,519,451,-2.5,16.7
Bethune-Cookman,0,14,41.6,66.2,12.41,71.1,7.1,32,12.9,3,23.03,46.9,77.8,7.7,33.5,14.59,1.08,645,413,-4.6,31.3
St. Francis Brooklyn,0,9.3,34.7,64.9,12.58,62,7.1,27.9,12.2,2.9,22.23,47.4,73.7,6.7,35.2,13.97,0.76,673,379,-6.9,12.9
Florida A&M;,0,12.6,42.3,65.9,10.17,71.8,6.2,34.8,13.6,3.3,24.73,45.6,78.8,6.6,36.2,14.2,0.93,569,407,-6.6,23.3
N.C. A&T;,0,11,42.4,68.1,10.88,64.3,6.3,32.8,14.6,2.2,23.56,44.4,76.1,4.5,37.9,9.72,0.76,629,466,-0.4,9.4
Alabama A&M;,0,11.4,40.2,66.6,10.31,61.7,4.3,27.4,13.2,1.8,21.86,47.4,77.8,3.6,36.3,9.38,0.86,526,384,-5,6.9
