Team,Round Elim,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG,BKPG,RPG,OPP FG%,OPP PPG,STPG,Pct,Avg,Ratio,Fouls,TO,REB MAR,Pct
Texas A&M;,0,15.8,45.8,64.9,12.94,70.2,6.1,32.9,14.2,5.6,25.68,40.4,67.8,6,35.2,11.65,1.11,511,439,5.3,51.6
Towson,0,10.5,44.7,68.2,13.48,74.2,4.7,31.1,12.9,3.6,26.06,41.8,69.2,6.8,34,13.24,0.82,686,426,7.9,60.6
Saint Peter's,0,12.2,43.6,70,8.25,66,8,38.1,11.1,2.9,24.56,41.6,60.8,7,31.9,13.36,1.11,571,398,0.2,63.9
Utah,0,14.9,50.4,68.2,10.03,78.5,6.7,35.3,13.5,3.5,28,41.7,68.1,6.1,34.2,12.03,1.1,539,431,6.8,62.5
Lehigh,0,14.6,47.9,77.2,7.25,76,8.4,39.2,14.1,3.1,27.13,43.4,70.7,6.7,34.7,13.09,1.04,539,450,2.3,62.5
UNCG,0,15,46.4,70.6,11.57,75.1,8.8,38.2,13.5,3.8,23.89,42.8,69.3,7,35.9,13.89,1.11,638,474,3.5,71.4
San Diego St.,0,10.9,41.6,69.8,10.61,68.5,7.1,31.7,11.7,5,25.73,38.8,62.5,6.9,32.4,12.85,0.93,572,387,1.3,57.6
San Francisco,0,13,44.9,63.6,9.52,71.6,9.1,35,12.6,2.8,26.45,42.2,67.3,6.7,33.5,13.33,1.03,641,415,0.7,60.6
Colorado,0,13.9,44.6,70.4,11.85,75.5,7.4,34.8,12.1,4.3,25.65,43.2,72.2,5.1,36.7,11.97,1.15,632,410,3,55.9
Oakland,0,17,45.5,76.1,10.38,79.4,7.3,33.5,13.6,5.1,28.56,40.7,71.1,7.8,32,14.15,1.25,593,463,2.3,73.5
Texas Southern,1,11.7,42.9,73.5,11.46,74.1,5.9,29.5,11.6,3.1,23.57,44.5,72.6,7.2,32.6,13.37,1.01,607,407,-2.7,65.7
Penn St.,0,13.7,41.4,74.5,10,71.7,7,33.9,13,5.5,25.42,43,72.7,6.8,36.3,14.76,1.05,596,430,-3.4,45.5
Stanford,0,13.6,44,68.2,10.19,69.7,5.1,32,12.9,2.5,24.23,44.4,71.1,6.8,38.2,14.32,1.06,604,399,1.2,45.2
Georgia St.,0,12.1,46.9,64.7,10.12,74,7.5,35.7,14,4.2,25.45,41.1,70.1,7.2,32.4,14.36,0.86,673,463,2.2,60.6
Auburn,0,13.2,43.7,67.2,11.53,80.4,9,36.6,13.6,5.1,25.06,43.7,79.6,7.4,35.7,15.06,0.97,672,434,-2.4,56.3
Marshall,0,16.5,45.6,73.4,9.29,85.6,10.2,37,12.4,4,27.69,46.1,84,6,34.4,13.2,1.33,644,433,-5.2,57.1
George Washington,0,13.3,42.4,74.5,11.26,69.9,7.9,37.1,12.9,3.9,25.29,44.5,69.7,5.5,35.4,10.83,1.03,541,453,4.2,57.1
North Dakota St.,0,12.2,45.8,71.1,8.6,74.8,7.7,36.8,11.6,3.7,26.3,42.9,71.5,6.1,38,12.23,1.05,501,348,0,63.3
Nebraska,0,11.4,41.6,71,13.26,69.9,5.8,32,13.3,3.7,25.03,44.7,73,6.8,39.9,13.61,0.86,578,411,2,38.7
William & Mary,0,17.5,49.1,69.2,8.74,81.7,9.1,38.2,12.5,4.9,27.48,44.2,77.8,5.4,34.8,11.06,1.4,566,388,1.5,54.8
Arkansas St.,0,12.4,46.1,63.8,11,73.3,6.9,38,12.9,2.6,25.44,43.3,69.1,5.4,31.6,13.16,0.96,653,414,2.9,62.5
Louisiana,0,14.3,46.7,69.5,13.39,81.9,7,34.3,13.3,2.8,24.58,47.3,76.3,7.1,36,15,1.08,625,440,5.9,63.6
Georgetown,0,15,46.1,73.2,9.53,74,6.4,34.9,14.2,4.6,26.13,42.2,72.2,5.5,32.4,12.22,1.06,672,454,0.9,43.8
Louisiana Tech,0,16.5,46.7,70.9,10.15,77.5,7.8,36.1,12.3,5.3,27.61,41.4,66.8,6.8,34.3,13.85,1.33,519,407,3.5,69.7
Ohio,0,13.4,45.4,69,9.16,77,9.2,38.4,12.5,2.8,27.71,41.4,69.9,5.9,32.2,13.42,1.07,550,388,-0.2,64.5
Wright St.,0,14.8,44.9,76.4,10.19,77,8.9,38.1,14.8,2.3,25.31,44.2,72.4,5.7,33.8,14.44,1,594,474,2.5,62.5
Memphis,0,15.9,44.2,68.3,11.66,74,5.7,29.5,11.5,4.7,24.97,42.3,70.7,6.9,33.7,13.59,1.38,534,368,0.3,59.4
South Dakota,0,12.2,44.4,70.5,10.44,77.6,6.6,34.1,11.8,3.4,26.94,43.3,73.9,6.8,36.7,13.68,1.03,657,402,1.1,64.7
UConn,0,13.1,43,71.2,10.18,67.3,6.8,35.5,12.2,5.4,26.45,39.3,66.3,4.4,33.4,10.52,1.07,575,402,1.4,48.5
Texas Tech,0,14,46.9,73.3,9.34,73.3,6.6,36.9,11.1,3.1,23.63,43.2,67.1,5.3,35.5,13.59,1.26,561,354,3.1,56.3
George Mason,0,11.7,44.8,74.7,11.21,74.1,5.4,33.6,12.9,2.8,29.09,42.5,71.7,5,33,10.12,0.9,570,440,7.3,58.8
New Hampshire,0,12.4,43.8,72.5,10.13,71.2,8,35.2,12.5,1.8,28.22,42.6,66.2,4,32.2,10.5,0.99,506,401,6.1,62.5
Arizona St.,0,13,43.4,74.9,9.21,78.6,9.9,36.6,10.4,3.2,23.42,47.9,81.7,5.9,36.4,13.3,1.25,558,344,-7.1,45.5
Yale,0,15.7,46.7,73.2,10.38,74.2,7.2,35.7,13,4.4,26.1,42.9,69.9,5.6,32.9,11.76,1.21,454,377,3.4,62.1
Wyoming,0,14.9,43.5,73,8.47,77.9,9.7,34.9,13.2,4.6,29.82,40.1,74.6,5.2,31,12.16,1.13,785,502,-1.1,60.5
Siena,0,13.5,45.2,71.1,12.65,75,5.5,32.7,14,4.1,25.12,44.7,74.7,5.9,33.9,12.18,0.97,668,476,4.4,50
UC Irvine,0,12.8,44.4,68.6,11.17,69.8,7.4,36.1,13.4,4.3,28.5,38.3,64.8,4.9,32.4,10.53,0.96,748,481,6.7,58.3
Santa Clara,0,14.1,43.6,73.2,6.15,66.8,9.6,38.2,10.3,2,23.58,45.2,65.4,5.2,37.7,12.42,1.36,617,341,-4.1,51.5
A&M-Corpus; Chris,0,13.5,47.1,72.2,10.22,75.4,5.4,33.2,13.5,3.9,23.89,43.8,71.5,9.4,34.4,16.31,1,704,485,-0.7,66.7
North Dakota,1,15.2,48.3,71.3,9.28,80.6,7.1,39,13.1,2.9,26.5,44.3,73.7,7.8,35.1,15,1.16,670,419,0.7,68.8
Temple,0,14.5,42.2,72.3,10,70.9,9,35.6,11.4,4,24.28,43,71.2,6.5,34.3,12.59,1.27,581,365,-3.6,50
Old Dominion,0,13.6,41.2,64.3,13.29,64.5,5.1,32.4,11.2,4.6,25.1,40,61.2,6.3,33.6,12.9,1.21,567,348,5.6,61.3
Mt. St. Mary's,1,11.2,44.4,67.3,7.67,67.9,7.3,35.8,13.1,3.9,22.36,45.3,68.7,6.2,34.1,14.83,0.85,640,472,-7.5,55.6
Chattanooga,0,12.2,46.6,71,10.39,74.6,7.5,34.6,13.3,4.7,22.03,44.5,68.8,7.8,34.2,14.9,0.91,570,413,-1.1,61.3
North Carolina St.,0,14.3,46.8,70,10.28,77.6,7.1,35.6,13.4,4.4,26,45,79.6,5.1,37,11.28,1.07,585,428,0.2,46.9
Tulsa,0,11.4,41.9,72.9,9.72,67.4,7.3,34.3,14.8,2.5,25.06,43.4,70.3,4.5,35.9,12.53,0.77,579,473,1.6,46.9
Northeastern,0,13.4,45.6,68.1,8.52,72.1,8.6,36.7,12.6,3.6,25,45.5,71.9,5.5,36.4,11.58,1.06,522,390,-0.4,48.4
Omaha,0,13.8,45.4,74.8,10.56,83.9,9.3,38.8,13.9,3.3,25.34,46.4,83.5,8.2,36.9,15.03,1,617,444,-1.9,56.3
Kent St.,1,12.5,42.8,71.9,14.97,77,7.1,32,12.9,3.8,25.36,43.5,73,6.4,34.8,13.97,0.97,686,465,5.9,61.1
La Salle,0,14.2,45.7,76.6,8.3,75.5,8.5,36.4,13.1,2.1,24.13,46.7,76.6,6.4,39.4,12.47,1.08,560,393,-0.8,50
Ga. Southern,0,10.4,44,66.4,9.7,75.5,9.2,36.2,11.8,3.1,25.03,43.4,73.3,6.8,33.9,13.67,0.88,641,388,-4.8,54.5
Harvard,0,14.4,44.7,74.3,10.14,71.9,8.2,35.5,13.2,4.8,25.75,41.2,65.8,6.3,31.3,12.71,1.09,531,370,1.6,64.3
Albany (NY),0,12.7,46.7,75.7,10.83,71.3,5.5,37.2,11.9,1.7,25.09,43.1,65.7,5.1,34.1,11.4,1.07,618,416,7.1,60
