Team,BKPG,RPG,OPP FG%,OPP PPG,STPG,Pct,Avg
Pacific,1.9,25.42,44.9,71.8,4.2,35.3,11.61
Alcorn,3.5,26.75,41.8,68.0,6.5,30.6,13.06
Bowling Green,2.7,25.00,46.4,76.7,6.9,34.2,14.75
South Ala.,3.7,24.09,44.2,72.6,7.5,34.8,16.25
Lamar University,2.8,23.62,46.1,71.6,8.0,32.2,16.03
Murray St.,2.3,25.58,45.0,77.1,6.0,36.0,13.15
USC Upstate,3.2,26.82,43.6,76.6,5.4,33.2,10.94
High Point,3.1,25.19,44.0,68.9,5.9,36.3,13.52
Indiana St.,4.1,27.32,41.9,72.7,6.6,37.3,12.90
Campbell,4.0,25.05,43.6,70.4,6.6,33.7,11.95
DePaul,2.9,22.41,46.6,74.6,6.7,36.1,13.84
Delaware,3.1,25.39,44.6,72.2,5.3,36.3,10.00
Ill.-Chicago,5.1,27.89,42.2,76.5,5.5,35.7,12.39
UNLV,2.7,26.25,45.1,75.2,5.9,37.8,11.78
Robert Morris,2.4,23.52,43.8,67.8,7.9,29.8,16.58
Little Rock,3.8,23.53,44.5,68.3,5.7,36.0,13.38
Northern Ill.,2.5,25.31,43.5,70.7,7.1,34.7,14.94
Wagner,3.6,25.00,40.9,65.8,4.9,33.6,12.20
Charlotte,3.1,25.17,46.8,80.2,6.3,36.6,13.77
Portland,3.4,24.85,42.9,72.2,4.9,35.6,11.55
Saint Francis (PA),4.0,26.15,42.8,74.5,6.6,36.6,13.44
Saint Louis,2.9,24.67,43.9,69.3,5.0,35.6,11.12
Norfolk St.,5.3,27.74,40.6,71.5,5.1,33.9,12.26
Air Force,1.7,25.45,45.7,75.1,6.0,36.4,12.33
Pepperdine,2.7,23.77,48.5,80.3,5.1,41.8,10.87
Southeastern La.,3.3,24.06,43.0,68.2,6.8,34.3,15.19
Eastern Ky.,3.7,23.65,44.4,75.2,6.0,35.0,13.81
Missouri,2.1,25.34,42.8,72.9,6.3,34.4,13.66
Nicholls St.,6.1,23.10,46.8,79.5,7.5,39.8,15.32
Montana St.,2.4,25.94,44.9,79.1,5.7,37.5,13.41
Youngstown St.,3.1,26.21,46.2,82.3,5.5,34.6,12.29
James Madison,2.7,24.94,43.9,69.7,5.9,34.6,11.82
UTSA,1.9,26.27,43.4,69.4,5.5,35.0,12.30
Kennesaw St.,3.0,24.66,47.1,76.8,5.1,37.3,12.47
Milwaukee,1.5,23.29,46.5,71.3,4.7,35.3,11.71
Austin Peay,2.4,22.27,49.1,83.8,5.7,37.0,13.57
Manhattan,3.3,23.94,45.3,77.7,7.0,39.2,14.66
Cleveland St.,3.0,22.10,45.8,71.7,7.1,35.0,15.61
Columbia,3.0,24.93,43.4,72.7,7.1,36.1,14.33
Eastern Ill.,4.1,25.31,43.1,71.8,6.8,35.4,15.79
Duquesne,4.0,25.75,43.8,74.3,4.9,35.9,12.47
Army West Point,1.9,28.00,44.0,73.1,5.6,33.0,12.72
Portland St.,2.6,23.94,48.1,81.8,9.9,36.9,17.00
Cornell,2.7,26.07,45.6,77.2,5.2,35.4,11.14
Quinnipiac,3.6,25.52,46.4,83.3,5.7,38.0,12.71
Fairleigh Dickinson,2.6,23.27,45.1,75.0,6.3,34.2,13.67
Seattle U,2.1,26.27,40.3,71.4,6.6,31.5,13.83
Western Caro.,2.3,23.81,44.5,73.3,6.2,35.5,13.47
Tennessee Tech,3.8,25.16,43.2,73.1,6.7,34.1,14.66
Southeast Mo. St.,1.9,22.27,47.8,74.7,7.5,36.7,15.70
Niagara,4.6,26.42,44.1,78.2,5.2,36.6,11.61
Marist,2.6,23.84,46.0,79.1,4.6,37.7,10.94
Cal St. Fullerton,3.7,26.53,42.3,71.3,7.0,33.1,14.31
UMES,2.6,23.32,45.4,76.0,5.6,35.3,14.09
Bryant,2.2,25.09,45.2,77.4,6.8,33.2,12.72
Fla. Atlantic,3.1,24.93,45.1,74.0,5.7,36.6,12.93
Savannah St.,3.2,27.97,45.2,91.9,7.8,33.2,15.90
The Citadel,2.6,23.82,51.2,94.6,9.3,38.7,17.55
Brown,1.9,21.93,49.9,77.9,7.6,37.2,15.80
Hampton,3.6,24.90,43.4,71.6,4.9,36.0,14.65
Oregon St.,3.7,23.50,44.5,72.5,5.5,35.9,11.75
Northern Colo.,2.2,26.38,45.5,74.7,5.1,35.2,12.93
Detroit Mercy,2.5,23.10,50.0,84.8,6.5,38.0,14.71
Oral Roberts,2.9,25.20,46.8,79.9,5.4,39.7,11.93
Colgate,2.6,24.19,45.2,71.0,5.1,37.5,11.81
Tulane,3.8,23.06,47.1,78.5,6.2,38.1,14.16
NJIT,2.9,25.06,45.9,74.8,6.5,37.5,13.42
La.-Monroe,2.2,25.00,43.4,69.7,4.7,35.6,11.30
Appalachian St.,3.0,26.23,45.9,76.0,5.6,37.7,12.73
Charleston So.,2.9,24.39,46.1,75.6,5.7,35.9,12.61
Cal Poly,3.6,22.65,46.7,72.3,5.2,39.1,12.00
Sacramento St.,4.4,25.65,45.2,74.3,4.7,38.1,10.74
Sacred Heart,2.7,26.03,46.0,76.1,6.8,37.9,14.31
Hawaii,1.9,22.63,44.9,68.3,5.0,33.9,14.10
Miami (OH),3.9,24.78,43.2,74.5,7.4,34.7,15.13
Northwestern St.,2.7,24.59,47.0,79.3,6.8,37.6,14.62
Dartmouth,1.8,24.70,46.9,74.8,4.7,35.0,10.89
Jacksonville,1.9,23.61,47.5,75.1,8.0,37.5,14.64
Prairie View,3.6,22.00,45.9,73.3,8.3,35.1,15.21
South Carolina St.,2.1,21.65,48.4,80.2,5.0,34.5,12.55
Drexel,3.1,24.91,46.2,78.4,5.8,35.7,12.66
American,2.4,22.13,46.9,68.3,7.0,36.8,13.20
Central Ark.,2.6,25.41,46.6,84.1,5.6,39.2,11.44
Binghamton,2.4,25.13,45.0,70.9,5.2,36.1,11.66
CSUN,3.0,25.20,46.0,81.3,6.9,38.6,13.03
McNeese,3.1,23.83,44.9,79.0,5.5,34.9,13.24
UTRGV,2.6,24.91,47.0,83.3,7.7,36.5,16.38
Drake,2.5,24.52,46.1,77.1,6.1,36.9,12.42
South Fla.,3.8,24.17,42.9,74.5,6.1,39.6,13.27
Chicago St.,2.1,24.34,46.5,78.5,6.7,36.1,13.59
Southern U.,3.8,25.79,42.6,72.7,5.7,31.4,12.39
Lafayette,2.8,25.03,45.7,76.1,4.9,37.9,12.97
Grambling,2.3,21.52,47.4,73.1,8.8,37.1,17.48
Jackson St.,2.6,23.16,43.4,66.9,6.2,33.3,13.78
Maine,2.0,24.94,46.1,75.0,5.2,35.9,11.59
UC Santa Barbara,2.1,24.00,44.7,71.0,5.3,33.8,11.64
Western Ill.,4.5,27.64,43.6,76.8,4.6,40.6,10.32
Morgan St.,3.4,24.87,43.8,70.7,5.7,28.5,14.40
Hartford,3.7,23.56,45.4,77.0,7.1,38.9,13.09
Stetson,2.2,26.69,45.4,82.9,4.8,34.7,11.56
VMI,3.8,22.80,48.3,78.2,6.3,39.6,12.97
UC Riverside,2.8,24.86,42.4,70.4,6.6,34.4,13.39
Southern Miss.,2.1,25.87,43.9,72.2,4.7,37.0,11.68
Delaware St.,2.8,22.16,44.6,75.0,5.5,35.0,14.25
