Team,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG
Ohio,13.4,45.4,69.0,9.16,77.0,9.2,38.4,12.5
Wright St.,14.8,44.9,76.4,10.19,77.0,8.9,38.1,14.8
Memphis,15.9,44.2,68.3,11.66,74.0,5.7,29.5,11.5
South Dakota,12.2,44.4,70.5,10.44,77.6,6.6,34.1,11.8
UConn,13.1,43.0,71.2,10.18,67.3,6.8,35.5,12.2
Texas Tech,14.0,46.9,73.3,9.34,73.3,6.6,36.9,11.1
George Mason,11.7,44.8,74.7,11.21,74.1,5.4,33.6,12.9
New Hampshire,12.4,43.8,72.5,10.13,71.2,8.0,35.2,12.5
Arizona St.,13.0,43.4,74.9,9.21,78.6,9.9,36.6,10.4
Yale,15.7,46.7,73.2,10.38,74.2,7.2,35.7,13.0
Wyoming,14.9,43.5,73.0,8.47,77.9,9.7,34.9,13.2
Siena,13.5,45.2,71.1,12.65,75.0,5.5,32.7,14.0
UC Irvine,12.8,44.4,68.6,11.17,69.8,7.4,36.1,13.4
Santa Clara,14.1,43.6,73.2,6.15,66.8,9.6,38.2,10.3
A&M-Corpus; Chris,13.5,47.1,72.2,10.22,75.4,5.4,33.2,13.5
North Dakota,15.2,48.3,71.3,9.28,80.6,7.1,39.0,13.1
Temple,14.5,42.2,72.3,10.00,70.9,9.0,35.6,11.4
Old Dominion,13.6,41.2,64.3,13.29,64.5,5.1,32.4,11.2
Mt. St. Mary's,11.2,44.4,67.3,7.67,67.9,7.3,35.8,13.1
Chattanooga,12.2,46.6,71.0,10.39,74.6,7.5,34.6,13.3
North Carolina St.,14.3,46.8,70.0,10.28,77.6,7.1,35.6,13.4
Tulsa,11.4,41.9,72.9,9.72,67.4,7.3,34.3,14.8
Northeastern,13.4,45.6,68.1,8.52,72.1,8.6,36.7,12.6
Omaha,13.8,45.4,74.8,10.56,83.9,9.3,38.8,13.9
Kent St.,12.5,42.8,71.9,14.97,77.0,7.1,32.0,12.9
La Salle,14.2,45.7,76.6,8.30,75.5,8.5,36.4,13.1
Ga. Southern,10.4,44.0,66.4,9.70,75.5,9.2,36.2,11.8
Harvard,14.4,44.7,74.3,10.14,71.9,8.2,35.5,13.2
Albany (NY),12.7,46.7,75.7,10.83,71.3,5.5,37.2,11.9
Southern Ill.,11.4,43.3,69.6,10.55,68.5,5.3,31.6,12.1
St. John's (NY),13.5,43.3,72.4,10.21,76.8,8.4,36.4,13.1
Buffalo,14.3,45.1,69.2,12.41,77.7,7.5,33.0,14.6
Troy,13.1,45.6,72.4,11.05,78.1,8.4,35.8,12.5
Mississippi St.,12.1,44.4,68.7,9.69,72.5,7.7,34.7,13.5
South Dakota St.,13.1,45.5,77.1,9.03,76.7,9.1,36.0,12.9
UC Davis,12.8,43.5,67.4,10.11,70.1,6.1,34.8,14.3
Jacksonville St.,14.1,45.9,71.4,10.14,69.5,7.4,37.7,13.6
Eastern Wash.,12.4,47.9,77.0,9.09,79.3,8.3,37.9,12.2
Texas,11.4,43.9,65.0,9.79,67.1,5.5,29.2,13.4
UMBC,14.9,46.9,74.5,9.03,81.1,9.7,39.3,12.1
UNI,9.9,39.9,73.3,6.07,61.8,7.6,32.6,11.4
Loyola Marymount,14.8,44.4,61.9,11.07,70.4,7.2,35.3,13.2
UT Martin,15.9,46.8,68.8,12.94,76.9,8.2,35.3,15.1
New Orleans,15.7,47.3,71.0,12.06,72.8,4.3,31.7,16.7
Oklahoma,10.6,42.3,72.1,11.65,73.0,6.2,34.3,13.8
Elon,14.6,44.5,68.5,9.09,75.1,9.6,35.5,11.7
Toledo,16.2,48.0,69.5,9.97,78.7,7.7,36.2,13.1
Tennessee St.,11.3,44.3,69.2,12.20,71.1,5.7,33.9,15.1
Green Bay,14.0,44.3,68.9,12.09,80.2,6.2,32.2,14.0
Liberty,12.9,43.6,74.2,4.94,66.6,9.1,35.9,10.4
Canisius,17.7,45.6,73.6,10.71,78.4,9.1,37.1,13.1
Washington St.,14.6,46.1,75.6,6.42,70.3,6.7,36.4,12.5
Samford,16.1,46.9,74.3,9.58,78.7,7.8,39.5,13.7
Fort Wayne,17.5,49.6,72.5,10.12,86.9,10.7,40.2,13.6
Texas St.,14.6,44.8,66.1,9.56,66.9,6.0,33.1,11.8
Rice,13.8,46.2,74.0,10.09,81.5,9.3,38.8,15.0
Coastal Caro.,12.0,42.3,65.8,12.28,72.6,8.2,33.1,13.0
Ball St.,15.6,46.1,71.7,9.85,78.7,9.4,37.9,14.6
Rutgers,11.0,41.1,62.3,14.55,65.5,4.6,30.3,13.2
Weber St.,13.0,48.6,74.1,7.15,79.8,9.2,41.7,11.6
Eastern Mich.,13.4,44.9,72.5,12.73,77.8,6.4,34.3,12.1
Western Mich.,12.9,45.0,70.4,11.56,75.5,6.5,37.1,12.5
Utah Valley,15.6,43.7,70.7,9.00,76.9,8.8,32.0,15.4
UMKC,12.9,43.9,71.3,10.06,76.9,9.0,37.1,14.6
Utah St.,15.0,46.1,70.1,8.26,72.3,7.5,37.9,12.6
Fairfield,15.0,44.2,68.2,8.87,72.6,8.5,33.5,13.4
Loyola Chicago,14.8,48.5,70.9,6.81,73.4,8.1,38.9,11.8
Houston Baptist,14.7,45.3,70.0,13.71,78.7,6.3,33.9,13.2
Stony Brook,12.2,40.4,72.2,11.19,69.2,7.8,32.7,10.2
Boston U.,14.0,44.3,69.6,10.03,73.1,8.6,35.4,14.3
Gardner-Webb,14.7,47.9,62.4,11.27,77.2,6.3,37.9,14.4
Wofford,16.7,46.7,78.0,9.79,78.6,9.4,40.3,12.3
Lipscomb,18.2,47.5,72.3,10.30,85.0,10.3,36.6,15.2
San Jose St.,13.9,44.1,70.1,9.43,73.2,6.7,34.8,13.1
Evansville,13.4,45.4,71.3,9.03,69.3,3.8,36.6,11.8
Sam Houston St.,14.9,43.7,68.6,11.79,74.3,6.2,31.7,13.7
Massachusetts,16.0,43.7,66.0,10.09,71.8,7.1,29.7,14.8
LSU,12.8,45.1,69.6,11.45,74.8,6.3,33.6,14.5
Mercer,13.5,44.4,78.2,11.47,70.8,7.6,35.0,11.5
Rider,14.1,44.6,67.2,12.76,75.7,5.4,33.2,14.6
Hofstra,13.1,44.3,68.4,11.59,77.3,9.1,36.7,10.7
